approach,share_reviewed,accounts_reviewed,precision,recall
ML3 Isolation Forest (unsupervised),0.14,1299,0.37644341801385683,0.5732708089097304
ML3 Isolation Forest (unsupervised),0.14500000000000002,1345,0.3687732342007435,0.5814771395076201
ML3 Isolation Forest (unsupervised),0.15,1392,0.3584770114942529,0.5849941383352872
ML3 Isolation Forest (unsupervised),0.155,1438,0.34909596662030595,0.5885111371629543
ML3 Isolation Forest (unsupervised),0.16,1484,0.341644204851752,0.5943728018757327
ML3 Isolation Forest (unsupervised),0.165,1531,0.33899412148922276,0.608440797186401
ML3 Isolation Forest (unsupervised),0.17,1577,0.33354470513633483,0.6166471277842908
ML3 Isolation Forest (unsupervised),0.17500000000000002,1623,0.32778804682686385,0.6236811254396248
ML3 Isolation Forest (unsupervised),0.18000000000000002,1670,0.3221556886227545,0.6307151230949589
ML3 Isolation Forest (unsupervised),0.185,1716,0.3152680652680653,0.634232121922626
ML3 Isolation Forest (unsupervised),0.19,1763,0.3096993760635281,0.6400937866354045
ML3 Isolation Forest (unsupervised),0.195,1809,0.30403537866224434,0.6447831184056272
ML3 Isolation Forest (unsupervised),0.2,1855,0.29757412398921834,0.6471277842907386
