scenario,approach,alerts,alerts_per_week,alerts_per_1000_tx,alerted_accounts,alert_precision,account_precision,account_recall,f1,false_positive_accounts,fpr_accounts,tp,fp,fn,tn
artifact-neutralised,B1 Amount threshold,481,53.44444444444444,13.80121657293699,347,0.10810810810810811,0.12968299711815562,0.05275498241500586,0.075,302,0.03584995251661918,45,302,808,8122
artifact-neutralised,B2 Amount + velocity,700,77.77777777777777,20.084930563525766,462,0.32,0.2792207792207792,0.15123094958968347,0.1961977186311787,333,0.03952991452991453,129,333,724,8091
artifact-neutralised,B3 Behavioural anomaly,315,35.0,9.038218753586595,223,0.5365079365079365,0.4080717488789238,0.10668229777256741,0.16914498141263942,132,0.01566951566951567,91,132,762,8292
artifact-neutralised,B4 Network / AML patterns,978,108.66666666666667,28.061517273040284,509,0.37627811860940696,0.2475442043222004,0.1477139507620164,0.18502202643171806,383,0.0454653371320038,126,383,727,8041
artifact-neutralised,B5a Integrated rules (>=2 families),250,27.77777777777778,7.173189486973488,141,0.68,0.574468085106383,0.09495896834701055,0.1629778672032193,60,0.007122507122507123,81,60,772,8364
artifact-neutralised,B5b Integrated risk score (top 1%),170,18.88888888888889,4.877768851141972,86,0.7764705882352941,0.6744186046511628,0.06799531066822978,0.12353567625133123,28,0.0033238366571699905,58,28,795,8396
