approach,roc_auc,pr_auc,base_rate,n_accounts,precision_top1pct,recall_top1pct,precision_top5pct,recall_top5pct,precision_top10pct,recall_top10pct,precision_top20pct,recall_top20pct
B1 Amount threshold,0.5554106143447683,0.11136637996860599,0.09194782796162553,9277,0.15053763440860216,0.016412661195779603,0.125,0.06799531066822978,0.12607758620689655,0.13716295427901523,0.11644204851752021,0.2532239155920281
B2 Amount + velocity,0.7833908923201616,0.44496450687530714,0.09194782796162553,9277,0.7849462365591398,0.08558030480656506,0.6875,0.37397420867526376,0.4515086206896552,0.4912075029308324,0.2668463611859838,0.5803048065650644
B5a Integrated rules (>=2 families),0.7394695304767599,0.36598451653529873,0.09194782796162553,9277,0.6989247311827957,0.07620164126611957,0.5474137931034483,0.2977725674091442,0.3135775862068966,0.34114888628370454,0.2560646900269542,0.5568581477139508
B5b Integrated risk score (top 1%),0.7533888966821752,0.45728234309761345,0.09194782796162553,9277,0.8817204301075269,0.09613130128956623,0.6875,0.37397420867526376,0.4525862068965517,0.492379835873388,0.2706199460916442,0.5885111371629543
ML1 Logistic regression (unconstrained),0.8470486824335984,0.712678112716445,0.09194782796162553,9277,1.0,0.10902696365767878,0.9827586206896551,0.5345838218053928,0.5959051724137931,0.6483001172332943,0.32452830188679244,0.7057444314185228
ML2 Gradient boosting,0.7997339010185825,0.5971804791835724,0.09194782796162553,9277,1.0,0.10902696365767878,0.8362068965517241,0.4548651817116061,0.4978448275862069,0.5416178194607268,0.2894878706199461,0.6295427901524033
ML3 Isolation Forest (unsupervised),0.8086448977910488,0.39853027594143453,0.09194782796162553,9277,0.6021505376344086,0.06565064478311841,0.5431034482758621,0.2954279015240328,0.46120689655172414,0.5017584994138335,0.29757412398921834,0.6471277842907386
