scenario,alerts,alert_precision,account_recall,pr_auc,roc_auc,precision_top5pct,base_rate
full framework,215,0.8651162790697674,0.1406799531066823,0.45728234309761345,0.7533888966821752,0.6875,0.09194782796162553
without transaction features,215,0.8651162790697674,0.1406799531066823,0.45724275498148736,0.7534262627072318,0.6875,0.09194782796162553
without velocity features,188,0.6382978723404256,0.08323563892145369,0.2523159598645895,0.6915642684497707,0.34698275862068967,0.09194782796162553
without behavioral features,342,0.8421052631578947,0.21805392731535755,0.4302295051965634,0.7854303675425207,0.6918103448275862,0.09194782796162553
without aml_pattern features,217,0.8525345622119815,0.1395076201641266,0.45467790319099816,0.753321192506421,0.6918103448275862,0.09194782796162553
without network features,218,0.8669724770642202,0.14302461899179367,0.45967783314248145,0.7546889838556505,0.6875,0.09194782796162553
