approach,alerts,alerts_per_week,alerts_per_1000_tx,alerted_accounts,alert_precision,account_precision,account_recall,f1,false_positive_accounts,fpr_accounts,tp,fp,fn,tn
VEL-01 global,342,38.0,9.61133125368856,226,0.8421052631578947,0.8230088495575221,0.21805392731535755,0.3447636700648749,40,0.004748338081671415,186,40,667,8384
VEL-01 segment-specific,298,33.111111111111114,8.374785712278335,259,0.5738255033557047,0.528957528957529,0.16060961313012895,0.24640287769784175,122,0.014482431149097816,137,122,716,8302
