metric,top_share,accounts,labelled_rate_top,base_rate,lift
in_degree,0.01,199,0.5376884422110553,0.09029029029029029,5.955108134909581
out_degree,0.01,199,0.38190954773869346,0.09029029029029029,4.2297964322722255
in_value,0.01,199,0.5276381909547738,0.09029029029029029,5.843797702481364
out_value,0.01,199,0.32160804020100503,0.09029029029029029,3.5619338377029273
pagerank,0.01,199,0.4472361809045226,0.09029029029029029,4.953314243055633
betweenness,0.01,199,0.32160804020100503,0.09029029029029029,3.5619338377029273
