variant,pr_auc,roc_auc,precision_top5pct
fitted weights,0.45748314421200664,0.7534069186570164,0.6875
"equal weights (mean of fitted, all features)",0.207302226225732,0.6608729148783857,0.29310344827586204
random_000,0.45574846789369317,0.7531359627881706,0.6702586206896551
random_001,0.45500260944098164,0.7531232986977417,0.6637931034482759
random_002,0.45888589976441774,0.753799296711567,0.6831896551724138
random_003,0.4529940267633859,0.7527353739497155,0.6616379310344828
random_004,0.45675684194122324,0.753371779285222,0.6875
random_005,0.45574009947823374,0.7533455465264766,0.6918103448275862
random_006,0.4571528733212752,0.7534328730841041,0.6918103448275862
random_007,0.45843531519829406,0.7537026460434042,0.6918103448275862
random_008,0.453836837012939,0.7536645841892031,0.6918103448275862
random_009,0.4568519601050892,0.7534213919032208,0.6896551724137931
random_010,0.45869834335362664,0.7538051416763806,0.6896551724137931
random_011,0.4580914513142457,0.7536130928325144,0.6896551724137931
random_012,0.4558825649033039,0.7533460336068777,0.6896551724137931
random_013,0.45889392732075723,0.7538427164501802,0.6831896551724138
random_014,0.4555535490448951,0.7531894024664638,0.6875
random_015,0.45577993410269446,0.7533948112299031,0.6918103448275862
random_016,0.45506132765539786,0.75331632170241,0.6875
random_017,0.45318047882035273,0.7528377999997773,0.6594827586206896
random_018,0.4480766646744819,0.7518280823282777,0.6508620689655172
random_019,0.4514163005264068,0.7523445267192825,0.6594827586206896
random_020,0.458714435202396,0.7538242769778525,0.6896551724137931
random_021,0.45540302794474447,0.7533996820339142,0.6918103448275862
random_022,0.45639100030426566,0.7533911233354376,0.665948275862069
random_023,0.45319413426707045,0.7527719049797986,0.6616379310344828
random_024,0.4473500964542227,0.7513534572688539,0.6422413793103449
random_025,0.44812478291993374,0.7517800701173113,0.6487068965517241
random_026,0.456176266143586,0.75333260410439,0.6918103448275862
random_027,0.4574863915128492,0.7534456763403617,0.6810344827586207
random_028,0.45597901714019123,0.7533760238430032,0.6896551724137931
random_029,0.45750201292467696,0.7534772669835195,0.6875
random_030,0.4551759869293167,0.7534250102147717,0.6918103448275862
random_031,0.45698107543358957,0.7533928629082985,0.6810344827586207
random_032,0.4476590585399769,0.7514818377460034,0.6443965517241379
random_033,0.45692228984469246,0.7533973857977374,0.6896551724137931
random_034,0.4566819979270807,0.753415477355493,0.6896551724137931
random_035,0.4573893875346827,0.753475179496086,0.6767241379310345
random_036,0.4588424884181426,0.7537899030181172,0.6853448275862069
random_037,0.4546660698628143,0.7531143225017786,0.6616379310344828
random_038,0.45905809152787685,0.7538907982440611,0.6831896551724138
random_039,0.4575625921533364,0.7534614716619404,0.6875
random_040,0.45483508047841137,0.7533756063455165,0.6896551724137931
random_041,0.45462176760441464,0.7534585491795338,0.6918103448275862
random_042,0.456334466659113,0.7533516698229477,0.6896551724137931
random_043,0.4518374536905113,0.7525809694625638,0.6530172413793104
random_044,0.45816906714840433,0.7536460751339611,0.6831896551724138
