approach,alerts,alerts_per_week,alerts_per_1000_tx,alerted_accounts,alert_precision,account_precision,account_recall,f1,false_positive_accounts,fpr_accounts,tp,fp,fn,tn
B1 Amount threshold,488,54.22222222222222,13.714414186549757,351,0.11475409836065574,0.13105413105413105,0.053927315357561546,0.07641196013289037,305,0.03620607787274454,46,305,807,8119
B2 Amount + velocity,807,89.66666666666667,22.67936936177388,544,0.40644361833952913,0.38235294117647056,0.24384525205158264,0.297780959198282,336,0.039886039886039885,208,336,645,8088
B3 Behavioural anomaly,367,40.77777777777778,10.31391394767164,274,0.6648501362397821,0.6021897810218978,0.19343493552168817,0.292812777284827,109,0.012939221272554606,165,109,688,8315
B4 Network / AML patterns,973,108.11111111111111,27.344518449821543,508,0.3720452209660843,0.2440944881889764,0.14536928487690504,0.18221895664952242,384,0.045584045584045586,124,384,729,8040
B5a Integrated rules (>=2 families),316,35.111111111111114,8.880645251946154,202,0.75,0.7079207920792079,0.16764361078546308,0.27109004739336495,59,0.007003798670465337,143,59,710,8365
B5b Integrated risk score (top 1%),215,23.88888888888889,6.042211168254504,140,0.8651162790697674,0.8571428571428571,0.1406799531066823,0.2416918429003021,20,0.0023741690408357074,120,20,733,8404
ML1 Logistic regression (unconstrained),709,78.77777777777777,19.9252452013602,509,0.9844851904090268,0.9783889980353635,0.5838218053927315,0.7312775330396476,11,0.0013057929724596391,498,11,355,8413
ML2 Gradient boosting,387,43.0,10.875980102858106,323,0.979328165374677,0.9814241486068112,0.3716295427901524,0.5391156462585034,6,0.0007122507122507123,317,6,536,8418
ML3 Isolation Forest (unsupervised),189,21.0,5.311525166512099,69,0.7037037037037037,0.5797101449275363,0.04689331770222743,0.08676789587852496,29,0.003442545109211776,40,29,813,8395
