metric,labelled_median,unlabelled_median,labelled_mean,unlabelled_mean,labelled_p90,unlabelled_p90
tx_count,18.0,9.0,24.226164079822617,10.859485035211268,36.0,18.0
median_amount,214.69,252.425,235.91423226164082,277.5578892495599,403.31350000000003,478.61
max_amount,529.435,483.54,498.75024390243897,457.4667005941901,591.36,584.44
unique_counterparties,14.0,9.0,20.35088691796009,10.856569102112676,32.0,18.0
tx_per_counterparty,1.1764705882352942,1.0,1.279348786633365,1.000215143280637,1.7142857142857142,1.0
in_counterparties,7.0,4.0,11.667960088691796,5.296930017605634,22.700000000000045,9.0
out_counterparties,6.0,5.0,8.991685144124169,5.562555017605634,12.0,9.0
active_weeks,10.0,7.0,10.08370288248337,7.461432658450704,14.0,11.0
total_value,3826.95,2536.585,5840.923154101996,3082.658475462148,9531.389,5473.09
