week,period,approach,alerts,precision,weekly_recall,active_accounts,labelled_active_share
5,dev,B2 Amount + velocity,82,0.2804878048780488,0.05808080808080808,3571,0.11089330719686362
5,dev,B5b Integrated risk score (top 1%),28,0.5714285714285714,0.04040404040404041,3571,0.11089330719686362
6,dev,B2 Amount + velocity,99,0.26262626262626265,0.05485232067510549,4169,0.1136963300551691
6,dev,B5b Integrated risk score (top 1%),19,0.8947368421052632,0.035864978902953586,4169,0.1136963300551691
7,dev,B2 Amount + velocity,109,0.3761467889908257,0.07387387387387387,4752,0.1167929292929293
7,dev,B5b Integrated risk score (top 1%),33,0.7272727272727273,0.043243243243243246,4752,0.1167929292929293
8,dev,B2 Amount + velocity,177,0.3502824858757062,0.10350584307178631,5299,0.11304019626344593
8,dev,B5b Integrated risk score (top 1%),71,0.5492957746478874,0.0651085141903172,5299,0.11304019626344593
9,dev,B2 Amount + velocity,165,0.43636363636363634,0.1186161449752883,5378,0.11286723689103756
9,dev,B5b Integrated risk score (top 1%),63,0.6825396825396826,0.07084019769357495,5378,0.11286723689103756
10,dev,B2 Amount + velocity,149,0.4228187919463087,0.11013986013986014,5277,0.10839492135683153
10,dev,B5b Integrated risk score (top 1%),48,0.7916666666666666,0.06643356643356643,5277,0.10839492135683153
11,dev,B2 Amount + velocity,149,0.38926174496644295,0.10488245931283906,5234,0.10565533053114252
11,dev,B5b Integrated risk score (top 1%),41,0.7804878048780488,0.05786618444846293,5234,0.10565533053114252
12,dev,B2 Amount + velocity,148,0.47297297297297297,0.1252236135957066,5148,0.10858585858585859
12,dev,B5b Integrated risk score (top 1%),48,0.875,0.07513416815742398,5148,0.10858585858585859
13,test,B2 Amount + velocity,126,0.36507936507936506,0.08487084870848709,4878,0.1111111111111111
13,test,B5b Integrated risk score (top 1%),28,0.8571428571428571,0.04428044280442804,4878,0.1111111111111111
14,test,B2 Amount + velocity,126,0.3968253968253968,0.08976660682226212,4936,0.11284440842787682
14,test,B5b Integrated risk score (top 1%),34,0.7941176470588235,0.04847396768402154,4936,0.11284440842787682
15,test,B2 Amount + velocity,131,0.4732824427480916,0.11787072243346007,4746,0.11083017277707544
15,test,B5b Integrated risk score (top 1%),41,0.926829268292683,0.07224334600760456,4746,0.11083017277707544
16,test,B2 Amount + velocity,118,0.4067796610169492,0.0967741935483871,4309,0.11510791366906475
16,test,B5b Integrated risk score (top 1%),37,0.8378378378378378,0.0625,4309,0.11510791366906475
17,test,B2 Amount + velocity,121,0.47107438016528924,0.12666666666666668,3666,0.12274959083469722
17,test,B5b Integrated risk score (top 1%),39,0.8974358974358975,0.07777777777777778,3666,0.12274959083469722
18,test,B2 Amount + velocity,69,0.4782608695652174,0.08753315649867374,3012,0.1251660026560425
18,test,B5b Integrated risk score (top 1%),19,0.9473684210526315,0.04774535809018567,3012,0.1251660026560425
19,test,B2 Amount + velocity,58,0.25862068965517243,0.04716981132075472,2457,0.12942612942612944
19,test,B5b Integrated risk score (top 1%),6,0.6666666666666666,0.012578616352201259,2457,0.12942612942612944
20,test,B2 Amount + velocity,42,0.2857142857142857,0.04285714285714286,1775,0.15774647887323945
20,test,B5b Integrated risk score (top 1%),9,0.7777777777777778,0.025,1775,0.15774647887323945
21,test,B2 Amount + velocity,16,0.3125,0.03164556962025317,925,0.17081081081081081
21,test,B5b Integrated risk score (top 1%),2,1.0,0.012658227848101266,925,0.17081081081081081
