segment,threshold_type,threshold,account_weeks,alerts,alert_rate,precision,segment_base_rate
no history,global threshold,6.0,56,0,0.0,,0.0
no history,segment threshold,4.0,56,0,0.0,,0.0
low,global threshold,6.0,11217,23,0.0020504591245431043,1.0,0.04074173130070429
low,segment threshold,4.0,11217,143,0.012748506730854953,0.3776223776223776,0.04074173130070429
medium,global threshold,6.0,9629,38,0.00394641188077682,0.8947368421052632,0.08287464949631322
medium,segment threshold,5.0,9629,104,0.010800706200020771,0.6923076923076923,0.08287464949631322
high,global threshold,6.0,9802,281,0.028667618853295246,0.8220640569395018,0.2498469700061212
high,segment threshold,12.0,9802,51,0.005203019791879209,0.8823529411764706,0.2498469700061212
